Date,OEZAKLAF_YoY,USDZAR_Ent,PPP.ZA.Index_QS,LocalBonds_Ent,SA_CDS_Lambda_QS,XAULempZiev,US_RB_Lambda_QS,SA_RB_Lambda,SA_CDS_Lambda,US_NB_Lambda
2020-11-30,-0.032046398131883674,0.08980466248248227,0.3939380364335249,0.5417648284052898,0.0,0.38540274271231867,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2020-12-07,-0.032046398131883674,-0.1700005956458525,0.3939380364335249,1.3549904676271816,0.0,0.6607463688574019,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2020-12-14,-0.032046398131883674,0.08980466248248227,0.3939380364335249,0.8128400414792529,0.0,-0.1652845095778455,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2020-12-21,-0.032046398131883674,0.08980466248248227,0.3939380364335249,1.3549904676271816,0.0,-0.1652845095778455,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2020-12-28,0.24360069416295643,-0.6896111119025243,0.3939380364335249,0.8128400414792529,0.0,-0.1652845095778455,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2021-01-04,0.24360069416295643,-0.42980585377418723,0.3939380364335249,0.2706896153313267,0.0,-0.1652845095778455,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2021-01-11,0.24360069416295643,0.34960992061081936,0.3939380364335249,0.2706896153313267,0.0,0.6607463688574019,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2021-01-18,0.24360069416295643,0.8692204368674912,0.3939380364335249,-0.27146081081660195,0.0,0.9360899950024828,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2021-01-25,0.24360069416295643,0.08980466248248227,0.3939380364335249,-0.8136112369645306,0.0,0.38540274271231867,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2021-02-01,0.45397126746825006,0.34960992061081936,0.3939380364335249,-0.5425360238905675,0.0,0.6607463688574019,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2021-02-08,0.45397126746825006,-0.6896111119025243,0.3939380364335249,-0.00038559774263882945,0.0,0.6607463688574019,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2021-02-15,0.45397126746825006,-0.1700005956458525,0.3939380364335249,-0.8136112369645306,0.0,1.486777247292647,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2021-02-22,0.45397126746825006,0.34960992061081936,0.3939380364335249,-1.6268368761864225,0.0,1.7621208734377278,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2021-03-01,0.6869436379055175,0.08980466248248227,0.3939380364335249,-1.3557616631124594,0.0,0.6607463688574019,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2021-03-08,0.6869436379055175,-0.1700005956458525,0.3939380364335249,-1.897912089260388,0.0,1.486777247292647,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2021-03-15,0.6869436379055175,-0.42980585377418723,0.3939380364335249,-1.6268368761864225,0.0,1.7621208734377278,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2021-03-22,0.6869436379055175,0.08980466248248227,0.3939380364335249,-1.6268368761864225,0.0,1.486777247292647,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2021-03-29,0.9350892427810331,-0.6896111119025243,0.3939380364335249,-1.6268368761864225,0.0,1.486777247292647,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2021-04-05,0.9350892427810331,0.08980466248248227,0.3939380364335249,-0.8136112369645306,0.0,0.9360899950024828,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2021-04-12,0.9350892427810331,0.6094151787391541,0.3939380364335249,-0.8136112369645306,0.0,1.486777247292647,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2021-04-19,0.9350892427810331,0.6094151787391541,0.3939380364335249,-0.5425360238905675,0.0,1.486777247292647,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2021-04-26,0.9350892427810331,0.8692204368674912,0.3939380364335249,-1.0846864500384938,0.0,0.9360899950024828,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2021-05-03,2.612600948097137,0.08980466248248227,0.3939380364335249,-0.27146081081660195,0.0,0.9360899950024828,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2021-05-10,2.612600948097137,0.8692204368674912,0.3939380364335249,0.5417648284052898,0.0,0.6607463688574019,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2021-05-17,2.612600948097137,0.34960992061081936,0.3939380364335249,-0.8136112369645306,0.0,0.9360899950024828,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
